Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0632437307063601,0.00996328940996903,-0.000576671819089408,0,0,0,0.0964113672283731,5.02201298549428E-05,1.90887157788728E-07,-2.40879409038581E-06,6.42517551845579E-05,-5.66630583447185E-07,0.000110517839797663,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/base_link.STL,,Hand Base Assembly-1;Hand Positioning Part 2-1;Hand Positioning Part-1;Palm Part 2-1;Palm Part-1;Finger Assembly V5-1/ABD Assembly-1/ABD-Base 2-1;Finger Assembly V5-2/ABD Assembly-1/ABD-Base 2-1;Finger Assembly V5-3/ABD Assembly-1/ABD-Base 2-1;Finger Assembly V5-4/ABD Assembly-1/ABD-Base 2-1;Thumb Assembly Final-1/Thumb ABD-Base 2-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_link_43,-0.00780977773990965,-0.00106451891795083,-0.000588699247441669,0,0,0,0.00834888699826389,3.50239519124542E-07,-1.09819292707753E-08,-1.38655722677778E-08,3.94465514183534E-07,5.19701476243925E-09,5.60938906962883E-07,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/thumb_link_43.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/thumb_link_43.STL,,Thumb Assembly Final-1/Thumb ABD-Base 1-1;Thumb Assembly Final-1/Thumb ABD JOINT-1;Thumb Assembly Final-1/Thumb ABD-Base 2-1,thumb_jount_4,基准轴17,thumb_joint_4,revolute,0.054345,0.047606,-0.015213,-1.8709,0.50404,0.63707,base_link,0,0,-1,0,0,0,0,,,,,,,,
thumb_link_32,0.0207276281763429,-0.0012093450114932,0.000498309154113474,0,0,0,0.00629282252266953,1.08790458636283E-07,2.4623616719408E-09,1.07173838717427E-08,9.8569266055199E-07,1.31501858573367E-09,1.05017031943928E-06,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/thumb_link_32.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/thumb_link_32.STL,,Thumb Assembly Final-1/Finger End Assembly-1/Finger End Part 2-1;Thumb Assembly Final-1/Finger End Assembly-1/Finger End Part 3-1;Thumb Assembly Final-1/Finger End Assembly-1/Finger End Part 1-1,thumb_jount_3,基准轴18,thumb_joint_3,revolute,0.012725,5E-05,-0.0014425,-1.5708,0,0,thumb_link_43,0,0,-1,0,0,0,0,,,,,,,,
thumb_link_21,0.0143179993171656,-0.000547864077791754,-0.000965355394173195,0,0,0,0.00402550660700482,9.16736786825702E-08,-4.80003686479287E-10,-2.66475066706048E-10,4.45078174870922E-07,-1.8267672066689E-09,4.94073190455857E-07,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/thumb_link_21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/thumb_link_21.STL,,Thumb Assembly Final-1/Finger Middle Assembly-1/Finger Middle Part 1-1;Thumb Assembly Final-1/Finger Middle Assembly-1/Finger Middle Part 2-1,thumb_jount_2,基准轴19,thumb_joint_2,revolute,0.045,0,0,0,0,0,thumb_link_32,0,0,-1,0,0,0,0,,,,,,,,
thumb_link_tip,0.0172784939603202,0.0573298245018761,-0.0215804732467479,0,0,0,0.00510236809704648,2.70474837631269E-07,-3.63062232965282E-08,5.33669011774451E-08,4.2418828950693E-07,4.80386204486054E-08,4.96740993420768E-07,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/thumb_link_tip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/thumb_link_tip.STL,,Thumb Assembly Final-1/Finger Tip-2;Finger Assembly V5-4/Finger Tip-1,thumb_jount_1,基准轴20,thumb_joint_1,revolute,0.028,0,0,0,0,0.00068633,thumb_link_21,0,0,1,0,0,0,0,,,,,,,,
index_link_43,-0.00761498166111011,-0.00105258446825862,-0.000280982974895358,0,0,0,0.00830241533957164,3.47366088628085E-07,-1.21402916941762E-08,-1.40566081494341E-08,3.93287881626727E-07,4.66356669479918E-09,5.5765922025046E-07,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/index_link_43.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/index_link_43.STL,,Finger Assembly V5-4/ABD Assembly-1/ABD-Base 1-1;Finger Assembly V5-4/ABD Assembly-1/ABD-Base 2-1;Finger Assembly V5-4/ABD Assembly-1/Thumb ABD JOINT-1,index_joint_4,基准轴1,index_joint_4,revolute,0.12201,0.044681,-0.0017451,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
index_link_32,0.0213088964346042,-0.00133942003293221,9.34183053259417E-05,0,0,0,0.00629284518937318,1.08790749932528E-07,2.46172459230156E-09,1.07171141952123E-08,9.85692459884552E-07,1.31483915675747E-09,1.05017028562962E-06,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/index_link_32.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/index_link_32.STL,,Finger Assembly V5-4/Finger End Assembly-1/Finger End Part 1-1;Finger Assembly V5-4/Finger End Assembly-1/Finger End Part 2-1;Finger Assembly V5-4/Finger End Assembly-1/Finger End Part 3-1,index_joint_3,基准轴8,index_joint_3,revolute,0.01232,0.000459999999999999,-0.00162,-1.5707963267949,0,0,index_link_43,0,0,-1,0,0,0,0,,,,,,,,
index_link_21,0.0144691937099329,-0.000547922127340859,-0.0013702405278064,0,0,0,0.00402550152657742,9.16731679255096E-08,-4.79402804766315E-10,-2.66221666246281E-10,4.45084000914297E-07,-1.82684772980098E-09,4.94078493030408E-07,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/index_link_21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/index_link_21.STL,,Finger Assembly V5-4/Finger Middle Assembly-1/Finger Middle Part 1-1;Finger Assembly V5-4/Finger Middle Assembly-1/Finger Middle Part 2-1,index_joint_2,基准轴9,index_joint_2,revolute,0.04543,-0.000129999999999998,0,0,0,0,index_link_32,0,0,1,0,0,0,0,,,,,,,,
index_link_tip,0.0120457602709471,-0.00274037499503817,-0.000299301174495949,0,0,0,0.00255118407627222,7.29675264132284E-08,4.51156802715691E-08,-5.54573468156118E-10,2.69727619617206E-07,-8.29695756143638E-10,2.53006905712533E-07,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/index_link_tip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/index_link_tip.STL,,Finger Assembly V5-4/Finger Tip-1,index_joint_1,基准轴16,index_joint_1,revolute,0.02823,0,0,0,0,0,index_link_21,0,0,1,0,0,0,0,,,,,,,,
middle_link_43,-0.00761981319891458,-0.00105022173450427,-0.000280982974895372,0,0,0,0.00830241533957164,3.47366088628085E-07,-1.21402916941762E-08,-1.40566081494341E-08,3.93287881626727E-07,4.66356669479918E-09,5.5765922025046E-07,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/middle_link_43.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Hand Assembly Final-urdfV2.2/meshes/middle_link_43.STL,,Finger Assembly V5-3/ABD Assembly-1/ABD-Base 1-1;Finger Assembly V5-3/ABD Assembly-1/ABD-Base 2-1;Finger Assembly V5-3/ABD Assembly-1/Thumb ABD JOINT-1,middle_joint_4,基准轴2,middle_joint_4,revolute,0.12602,0.022679,-0.0017551,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
